time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.07837e-05	4198.57
1	1.07837e-05	2.38627e-05	4041.11
2	2.38627e-05	3.97256e-05	3517.02
3	3.97256e-05	5.89649e-05	2610.58
4	5.89649e-05	8.22992e-05	1503.94
5	8.22992e-05	0.0001106	848.776
6	0.0001106	0.000144925	890.116
7	0.000144925	0.000186556	1034.14
8	0.000186556	0.000237048	1305.11
9	0.000237048	0.000298287	1700.86
10	0.000298287	0.000372561	2146.49
11	0.000372561	0.000462644	2399.06
12	0.000462644	0.000571902	2373.07
13	0.000571902	0.000704414	2282.51
14	0.000704414	0.000865132	2112.12
15	0.000865132	0.00106006	1863.28
16	0.00106006	0.00129647	1583.07
17	0.00129647	0.00158321	1424.25
18	0.00158321	0.00193098	1428.74
19	0.00193098	0.00235277	1444.38
20	0.00235277	0.00286434	1473.79
21	0.00286434	0.0034848	1516.76
22	0.0034848	0.00423732	1565.13
23	0.00423732	0.00515001	1592.55
24	0.00515001	0.00625697	921.714
